village.nom,fiche_enqueteur.date,date_sortie_de_peche1,nombre_sortie_de_peche1,nombre_de_pirogue_sortie_de_peche1,nom_premier_engin1,nombre_premier_engin1,nom_deuxieme_engin1,nombre_deuxieme_engin1,date_sortie_de_peche2,nombre_sortie_de_peche2,nombre_de_pirogue_sortie_de_peche2,nom_premier_engin2,nombre_premier_engin2,nom_deuxieme_engin2,nombre_deuxieme_engin2,date_sortie_de_peche3,nombre_sortie_de_peche3,nombre_de_pirogue_sortie_de_peche3,nom_premier_engin3,nombre_premier_engin3,nom_deuxieme_engin3,nombre_deuxieme_engin3,date_sortie_de_peche4,nombre_sortie_de_peche4,nombre_de_pirogue_sortie_de_peche4,nom_premier_engin4,nombre_premier_engin4,nom_deuxieme_engin4,nombre_deuxieme_engin4
Ambatoraikitra,2023-01-01,2023-01-01,1,1,Nasse_(Treko),3,,0,2022-12-31,0,0,,0,,0,2022-12-30,0,0,,0,,0,2022-12-29,0,0,,0,,0
Ambatoraikitra,2023-01-03,2023-01-03,1,1,Nasse_(Treko),40,,0,2023-01-02,0,0,,0,,0,2023-01-01,0,0,,0,,0,2022-12-31,0,0,,0,,0
Ambatoraikitra,2023-01-03,2023-01-03,1,1,Nasse_(Treko),38,,0,2023-01-02,0,0,,0,,0,2023-01-01,0,0,,0,,0,2022-12-31,0,0,,0,,0
Ambatoraikitra,2023-01-03,2023-01-03,1,1,Nasse_(Treko),1,,0,2023-01-02,0,0,,0,,0,2023-01-01,0,0,,0,,0,2022-12-31,0,0,,0,,0
Ambatoraikitra,2023-01-03,2023-01-03,1,1,Nasse_(Treko),30,,0,2023-01-02,0,0,,0,,0,2023-01-01,0,0,,0,,0,2022-12-31,0,0,,0,,0
Ambatoraikitra,2023-01-03,2023-01-03,1,0,Nasse_(Treko),20,,0,2023-01-02,0,0,,0,,0,2023-01-01,0,0,,0,,0,2022-12-31,0,0,,0,,0
Ambatoraikitra,2023-01-03,2023-01-03,2,2,Nasse_(Treko),1,,0,2023-01-02,0,0,,0,,0,2023-01-01,0,0,,0,,0,2022-12-31,0,0,,0,,0
Ambatoraikitra,2023-01-03,2023-01-03,1,1,Nasse_(Treko),30,,0,2023-01-02,0,0,,0,,0,2023-01-01,0,0,,0,,0,2022-12-31,0,0,,0,,0
Ambatoraikitra,2023-01-03,2023-01-03,2,2,"Raquette_(Kipaoky,_Fisahoky,_Fisaoka)",1,,0,2023-01-02,0,0,,0,,0,2023-01-01,0,0,,0,,0,2022-12-31,0,0,,0,,0
Ambatoraikitra,2023-01-03,2023-01-03,2,2,Nasse_(Treko),1,,0,2023-01-02,0,0,,0,,0,2023-01-01,0,0,,0,,0,2022-12-31,0,0,,0,,0
Ambatoraikitra,2023-01-03,2023-01-03,2,2,Nasse_(Treko),1,,0,2023-01-02,0,0,,0,,0,2023-01-01,0,0,,0,,0,2022-12-31,0,0,,0,,0
Ambatoraikitra,2023-01-03,2023-01-03,2,2,Nasse_(Treko),1,,0,2023-01-02,1,1,"Balance_(Garigary,_Kiriry)",3,,0,2023-01-01,0,0,,0,,0,2022-12-31,0,0,,0,,0
Ambatoraikitra,2023-01-03,2023-01-03,1,1,"Ligne_a_la_canne_(Vintana,_Vinta,Kibitsoka)",1,,0,2023-01-02,1,1,"Ligne_a_la_canne_(Vintana,_Vinta,Kibitsoka)",1,,0,2023-01-01,0,0,,0,,0,2022-12-31,0,0,,0,,0
Ambatoraikitra,2023-01-04,2023-01-04,1,1,"Ligne_a_la_canne_(Vintana,_Vinta,Kibitsoka)",40,,0,2023-01-03,1,1,"Ligne_a_la_canne_(Vintana,_Vinta,Kibitsoka)",40,,0,2023-01-02,0,0,,0,,0,2023-01-01,0,0,,0,,0
Ambatoraikitra,2023-01-04,2023-01-04,1,1,"Ligne_a_la_canne_(Vintana,_Vinta,Kibitsoka)",40,,0,2023-01-03,1,1,"Ligne_a_la_canne_(Vintana,_Vinta,Kibitsoka)",40,,0,2023-01-02,0,0,,0,,0,2023-01-01,0,0,,0,,0
Ambatoraikitra,2023-01-04,2023-01-04,1,1,"Ligne_a_la_canne_(Vintana,_Vinta,Kibitsoka)",40,,0,2023-01-03,1,1,"Ligne_a_la_canne_(Vintana,_Vinta,Kibitsoka)",40,,0,2023-01-02,0,0,,0,,0,2023-01-01,0,0,,0,,0
Ambatoraikitra,2023-01-07,2023-01-07,1,1,"Raquette_(Kipaoky,_Fisahoky,_Fisaoka)",1,,0,2023-01-06,0,0,,0,,0,2023-01-05,0,0,,0,,0,2023-01-04,0,0,,0,,0
Ambatoraikitra,2023-01-07,2023-01-07,1,1,"Ligne_a_la_canne_(Vintana,_Vinta,Kibitsoka)",38,,0,2023-01-06,0,0,,0,,0,2023-01-05,0,0,,0,,0,2023-01-04,0,0,,0,,0
Ambatoraikitra,2023-01-07,2023-01-07,1,1,"Balance_(Garigary,_Kiriry)",23,,0,2023-01-06,0,0,,0,,0,2023-01-05,0,0,,0,,0,2023-01-04,0,0,,0,,0
